DATE,WILL5000PR
2008-05-19,14373.26
2008-05-20,14259.37
2008-05-21,14036.89
2008-05-22,14078.13
2008-05-23,13903.41
2008-05-26,.
2008-05-27,14005.84
2008-05-28,14073.49
2008-05-29,14153.48
2008-05-30,14193.69
2008-06-02,14055.61
2008-06-03,13989.67
2008-06-04,13990.38
2008-06-05,14268.65
2008-06-06,13851.35
2008-06-09,13845.80
2008-06-10,13799.06
2008-06-11,13568.51
2008-06-12,13605.48
2008-06-13,13813.22
2008-06-16,13838.81
2008-06-17,13761.79
2008-06-18,13632.30
2008-06-19,13683.78
2008-06-20,13439.99
2008-06-23,13425.64
2008-06-24,13357.82
2008-06-25,13442.11
2008-06-26,13062.23
2008-06-27,13019.87
2008-06-30,13016.38
